"","INDINF_CPI_M","INDINF_LOWTARGET","INDINF_UPPTARGET","Volume","Monthly_Change","INDINF_CPI_COMMON_M","INDINF_CPI_MEDIAN_M","INDINF_CPI_TRIM_M"
"131",0.016,0.01,0.03,270014160000,0.0473784334339806,0.02,0.019,0.017
"132",0.016,0.01,0.03,220531050000,0.011154387127368,0.019,0.019,0.017
"133",0.021,0.01,0.03,251402160000,0.0459959403399244,0.02,0.019,0.017
"134",0.013,0.01,0.03,334836760000,0.0365531737045468,0.018,0.018,0.017
"135",0.007,0.01,0.03,262055870000,0.0313445674119599,0.019,0.016,0.016
"136",0.008,0.01,0.03,338586620000,-0.0230528086704217,0.019,0.015,0.015
"137",0.017,0.01,0.03,300214460000,-0.0398211457657242,0.021,0.016,0.016
"138",0.024,0.01,0.03,255719660000,0.0210213252062106,0.02,0.017,0.016
"139",0.025,0.01,0.03,252071650000,0.0152423944699924,0.02,0.017,0.017
"140",0.023,0.01,0.03,222862250000,-0.0102391878865759,0.019,0.016,0.017
"141",0.018,0.01,0.03,215311110000,-0.00958839606401718,0.019,0.016,0.017
"142",0.018,0.01,0.03,243232440000,0.0347737620866659,0.019,0.017,0.017
"143",0.023,0.01,0.03,252316650000,0.0233840775653698,0.02,0.017,0.018
"144",0.024,0.01,0.03,263269790000,0.0179347997970918,0.02,0.018,0.018
"145",0.021,0.01,0.03,244075130000,0.0239865112655147,0.019,0.019,0.018
"146",0.019,0.01,0.03,233545480000,-0.00460711227806809,0.019,0.018,0.017
"147",0.021,0.01,0.03,244639260000,0.0504340691343772,0.019,0.018,0.017
"148",0.023,0.01,0.03,295536570000,-0.00578172120511744,0.019,0.02,0.019
"149",0.024,0.01,0.03,237722820000,-0.0252903100278273,0.019,0.019,0.018
"150",0.016,0.01,0.03,230442200000,0.0254021116789314,0.019,0.018,0.018
"151",0.017,0.01,0.03,261506050000,0.0307578618339994,0.02,0.019,0.018
"152",0.02,0.01,0.03,211685850000,0.0525205594621225,0.02,0.018,0.017
"153",0.026,0.01,0.03,282413450000,0.0236018757516303,0.02,0.018,0.017
"154",0.032,0.01,0.03,315183070000,0.0321400895531148,0.02,0.019,0.017
"155",0.026,0.01,0.03,281210790000,-0.0570751385903896,0.019,0.019,0.017
"156",0.02,0.01,0.03,290517710000,0.0424527666809482,0.019,0.018,0.017
"157",0.021,0.01,0.03,272257580000,0.0414076193115713,0.019,0.018,0.017
"158",0.028,0.01,0.03,363392590000,0.0597304734302178,0.02,0.018,0.018
"159",0.022,0.01,0.03,360816380000,-0.0215392958429769,0.02,0.018,0.018
"160",0.022,0.01,0.03,395748830000,0.0361301310751243,0.02,0.019,0.018
"161",0.024,0.01,0.03,340615250000,0.0077288151719952,0.019,0.018,0.018
"162",0.028,0.01,0.03,429534020000,-0.0376673757931582,0.019,0.02,0.019
"163",0.024,0.01,0.03,377548700000,-0.0112052117161225,0.019,0.018,0.018
"164",0.023,0.01,0.03,313669240000,0.0187808042484399,0.019,0.02,0.02
"165",0.021,0.01,0.03,367508870000,0.020522340038881,0.02,0.02,0.021
"166",0.007,0.01,0.03,419377100000,-0.02588248977514,0.021,0.021,0.023
"167",0.01,0.01,0.03,447572240000,0.0495948418687555,0.021,0.021,0.024
"168",0.014,0.01,0.03,472302780000,0.0330347516255356,0.022,0.022,0.025
"169",0.017,0.01,0.03,308882200000,0.0122329910618315,0.021,0.022,0.025
"170",0.011,0.01,0.03,415042850000,0.00973778424843719,0.021,0.023,0.025
"171",0.02,0.01,0.03,386122690000,0.000836297966640753,0.021,0.025,0.028
"172",0.023,0.01,0.03,427146980000,0.00923725565350719,0.021,0.024,0.028
"173",0.022,0.01,0.03,405056610000,0.019080186472219,0.022,0.025,0.028
"174",0.022,0.01,0.03,479040540000,0.0477091684763551,0.022,0.025,0.028
"175",0.022,0.01,0.03,467503550000,-0.0106852340563728,0.022,0.027,0.029
"176",0.022,0.01,0.03,447407930000,-0.00273251557306697,0.023,0.026,0.027
"177",0.017,0.01,0.03,472156430000,-0.015005091708391,0.022,0.025,0.025
"178",0.025,0.01,0.03,422655910000,0.0320925581786904,0.022,0.026,0.025
"179",0.024,0.01,0.03,534449990000,0.0373149390668677,0.022,0.025,0.023
"180",0.025,0.01,0.03,505792650000,-0.0639931891282051,0.022,0.023,0.022
"181",0.024,0.01,0.03,358796220000,0.0105193185901962,0.022,0.024,0.022
"182",0.022,0.01,0.03,524615010000,-0.0490128763013377,0.023,0.025,0.023
"183",0.018,0.01,0.03,450582730000,0.0325045494682121,0.024,0.025,0.022
"184",0.014,0.01,0.03,500977590000,-0.01712476773106,0.023,0.024,0.02
"185",0.017,0.01,0.03,475525290000,0.0439622480872233,0.024,0.025,0.023
"186",0.022,0.01,0.03,479426570000,0.0558011189639089,0.025,0.024,0.023
"187",0.031,0.01,0.03,470814100000,-0.0168335196584003,0.026,0.025,0.023
"188",0.034,0.01,0.03,511716690000,-0.0604202397871018,0.026,0.026,0.024
"189",0.035,0.01,0.03,407096470000,0.0131244553309697,0.026,0.027,0.026
"190",0.034,0.01,0.03,650845590000,-0.146565643227604,0.028,0.026,0.025
"191",0.026,0.01,0.03,699078040000,-0.169328465297294,0.027,0.026,0.025
"192",0.02,0.01,0.03,592806990000,-0.0504158853844284,0.028,0.027,0.027
"193",0.012,0.01,0.03,565090840000,-0.0305157622949609,0.028,0.027,0.026
"194",0.011,0.01,0.03,476996300000,-0.0325778338893513,0.028,0.025,0.024
"195",0.014,0.01,0.03,476191390000,-0.0657742314784845,0.027,0.025,0.024
"196",0.012,0.01,0.03,583944020000,0.0735443051828142,0.028,0.025,0.024
"197",0.004,0.01,0.03,485719130000,0.0693086769987969,0.027,0.022,0.02
"198",0.001,0.01,0.03,470602520000,0.11209890033666,0.026,0.022,0.02
"199",-0.003,0.01,0.03,479934280000,0.000462944637082519,0.025,0.021,0.019
"200",-0.009,0.01,0.03,377496840000,0.0397401216842199,0.024,0.019,0.016
"201",-0.008,0.01,0.03,354227650000,0.0075088993006307,0.022,0.017,0.015
"202",-0.009,0.01,0.03,453526510000,0.0484716692320739,0.022,0.017,0.013
"203",0.001,0.01,0.03,404188080000,-0.0424923383062746,0.022,0.017,0.014
"204",0.01,0.01,0.03,363944460000,0.0491623345297003,0.021,0.018,0.014
"205",0.013,0.01,0.03,332250650000,0.0261111371259635,0.02,0.017,0.013
"206",0.019,0.01,0.03,327643960000,-0.0554907437955475,0.019,0.017,0.013
"207",0.016,0.01,0.03,314432930000,0.04824998543475,0.018,0.017,0.013
"208",0.014,0.01,0.03,411092830000,0.0350915422474369,0.017,0.015,0.011
"209",0.018,0.01,0.03,392558170000,0.0143715159206124,0.017,0.017,0.013
"210",0.014,0.01,0.03,466124930000,-0.036664580069153,0.016,0.016,0.012
"211",0.01,0.01,0.03,436134310000,-0.0398367430927485,0.016,0.015,0.011
"212",0.018,0.01,0.03,365732790000,0.0370980295982672,0.017,0.016,0.013
"213",0.017,0.01,0.03,391965760000,0.0171171473105329,0.017,0.016,0.012
"214",0.019,0.01,0.03,449730310000,0.03817388001192,0.015,0.016,0.013
"215",0.024,0.01,0.03,394791410000,0.0248611410376254,0.015,0.017,0.014
"216",0.02,0.01,0.03,466848390000,0.0218283232943215,0.015,0.015,0.012
"217",0.024,0.01,0.03,410213970000,0.0378525109589103,0.016,0.016,0.014
"218",0.023,0.01,0.03,463616230000,0.00809329649352897,0.015,0.016,0.013
"219",0.022,0.01,0.03,440393210000,0.0431301652892562,0.016,0.014,0.011
"220",0.033,0.01,0.03,529224450000,-0.00144310055530006,0.018,0.018,0.016
"221",0.033,0.01,0.03,402433470000,-0.0121350662537678,0.018,0.018,0.016
"222",0.037,0.01,0.03,387160390000,-0.0101757942734411,0.018,0.02,0.018
"223",0.031,0.01,0.03,448758260000,-0.0363691677676181,0.019,0.02,0.018
"224",0.027,0.01,0.03,352891300000,-0.0267125361107442,0.018,0.019,0.018
"225",0.031,0.01,0.03,556012330000,-0.0136648296983493,0.019,0.021,0.02
"226",0.032,0.01,0.03,511846030000,-0.0896645995688991,0.019,0.02,0.021
"227",0.029,0.01,0.03,483190740000,0.0540528755261025,0.019,0.019,0.02
"228",0.029,0.01,0.03,434738130000,-0.00391769586697943,0.019,0.021,0.021
"229",0.023,0.01,0.03,419593130000,-0.0204029799802988,0.019,0.019,0.019
"230",0.025,0.01,0.03,412969660000,0.0415806310493452,0.019,0.02,0.021
"231",0.026,0.01,0.03,411762530000,0.0154028847911565,0.02,0.021,0.022
"232",0.019,0.01,0.03,493826850000,-0.0199145685700728,0.018,0.019,0.019
"233",0.02,0.01,0.03,363698210000,-0.0080292440756522,0.019,0.02,0.02
"234",0.012,0.01,0.03,411674750000,-0.0634116172716112,0.017,0.017,0.016
"235",0.015,0.01,0.03,410025380000,0.00724380820166926,0.017,0.016,0.015
"236",0.013,0.01,0.03,324819880000,0.00587246160910371,0.017,0.016,0.015
"237",0.012,0.01,0.03,303586590000,0.0243983647451131,0.017,0.017,0.015
"238",0.012,0.01,0.03,364252060000,0.0308135372790572,0.016,0.016,0.014
"239",0.012,0.01,0.03,311681170000,0.00855696293890795,0.017,0.017,0.013
"240",0.008,0.01,0.03,335610590000,-0.0147711077304411,0.017,0.016,0.012
"241",0.008,0.01,0.03,346851400000,0.0158585880679847,0.016,0.017,0.012
"242",0.005,0.01,0.03,357253410000,0.0202437121486307,0.016,0.015,0.01
"243",0.012,0.01,0.03,332850890000,0.010768423666963,0.016,0.016,0.012
"244",0.01,0.01,0.03,367166090000,-0.00560759137511746,0.016,0.016,0.012
"245",0.004,0.01,0.03,384568370000,-0.023011975152928,0.016,0.015,0.01
"246",0.007,0.01,0.03,57968080000,0.015566201661783,0.016,0.015,0.011
"247",0.012,0.01,0.03,3796520000,-0.041208243683012,0.015,0.017,0.013
"248",0.013,0.01,0.03,55254250000,0.0294745703741051,0.016,0.017,0.013
"249",0.011,0.01,0.03,251431590000,0.0133984260918731,0.015,0.016,0.011
"250",0.011,0.01,0.03,255587100000,0.0105342858629429,0.016,0.016,0.012
"251",0.007,0.01,0.03,339652160000,0.0448964277750561,0.015,0.015,0.012
"252",0.009,0.01,0.03,269839710000,0.00255219076719149,0.015,0.015,0.012
"253",0.012,0.01,0.03,288673650000,0.0168863349655437,0.015,0.016,0.014
"254",0.015,0.01,0.03,395891280000,0.00538121689845927,0.015,0.017,0.015
"255",0.011,0.01,0.03,365095440000,0.0375832757672521,0.014,0.015,0.014
"256",0.015,0.01,0.03,366433230000,0.00884614622922841,0.015,0.016,0.015
"257",0.02,0.01,0.03,350626120000,0.022085382957221,0.015,0.017,0.016
"258",0.023,0.01,0.03,299572710000,-0.00325556376490932,0.015,0.018,0.017
"259",0.024,0.01,0.03,339367350000,0.0370989029022961,0.015,0.018,0.018
"260",0.021,0.01,0.03,332344590000,0.0121946517232272,0.015,0.017,0.016
"261",0.021,0.01,0.03,273423260000,0.0192424348691009,0.015,0.017,0.017
"262",0.02,0.01,0.03,373697070000,-0.0425709047721813,0.016,0.018,0.017
"263",0.024,0.01,0.03,460070770000,-0.0232077935229437,0.016,0.018,0.017
"264",0.02,0.01,0.03,400917760000,0.00899183563968475,0.017,0.018,0.017
